Sequence,Volt,Start,Increment
762,7.80000e+00,,
763,8.60000e+00,,
764,7.80000e+00,,
765,8.60000e+00,,
766,7.80000e+00,,
767,8.60000e+00,,
768,7.80000e+00,,
769,8.60000e+00,,
770,7.80000e+00,,
771,8.60000e+00,,
772,7.80000e+00,,
773,8.60000e+00,,
774,7.80000e+00,,
775,8.60000e+00,,
776,8.60000e+00,,
777,7.80000e+00,,
778,7.80000e+00,,
779,8.60000e+00,,
780,7.80000e+00,,
781,8.60000e+00,,
782,7.80000e+00,,
783,8.60000e+00,,
784,8.60000e+00,,
785,7.80000e+00,,
786,8.60000e+00,,
787,4.00000e-01,,
788,4.00000e-01,,
789,1.20000e+00,,
790,1.00000e+00,,
791,8.80000e+00,,
792,7.80000e+00,,
793,8.60000e+00,,
794,8.60000e+00,,
795,7.80000e+00,,
796,7.80000e+00,,
797,8.60000e+00,,
798,7.80000e+00,,
799,8.60000e+00,,
800,7.80000e+00,,
801,8.60000e+00,,
802,7.80000e+00,,
803,8.60000e+00,,
804,7.80000e+00,,
805,8.60000e+00,,
806,7.80000e+00,,
807,8.60000e+00,,
808,7.80000e+00,,
809,8.60000e+00,,
810,7.80000e+00,,
811,8.60000e+00,,
812,7.80000e+00,,
813,8.60000e+00,,
814,7.80000e+00,,
815,8.60000e+00,,
816,7.80000e+00,,
817,8.80000e+00,,
818,8.00000e+00,,
819,4.00000e-01,,
820,4.00000e-01,,
821,8.60000e+00,,
822,7.80000e+00,,
823,8.60000e+00,,
824,7.80000e+00,,
825,8.60000e+00,,
826,7.80000e+00,,
827,8.60000e+00,,
828,7.80000e+00,,
829,8.60000e+00,,
830,7.80000e+00,,
831,8.60000e+00,,
832,7.80000e+00,,
833,8.60000e+00,,
834,7.80000e+00,,
835,8.60000e+00,,
836,7.80000e+00,,
837,8.60000e+00,,
838,8.60000e+00,,
839,7.80000e+00,,
840,8.60000e+00,,
841,7.80000e+00,,
842,7.80000e+00,,
843,8.60000e+00,,
844,7.80000e+00,,
845,8.60000e+00,,
846,7.80000e+00,,
847,8.60000e+00,,
848,8.60000e+00,,
849,4.00000e-01,,
850,4.00000e-01,,
851,1.40000e+00,,
852,1.80000e+00,,
853,8.60000e+00,,
854,7.80000e+00,,
855,8.60000e+00,,
856,8.60000e+00,,
857,7.80000e+00,,
858,7.80000e+00,,
859,8.60000e+00,,
860,7.80000e+00,,
861,8.60000e+00,,
862,7.80000e+00,,
863,8.60000e+00,,
864,7.80000e+00,,
865,8.60000e+00,,
866,7.80000e+00,,
867,8.60000e+00,,
868,7.80000e+00,,
869,8.60000e+00,,
870,7.80000e+00,,
871,8.60000e+00,,
872,8.60000e+00,,
873,7.80000e+00,,
874,7.80000e+00,,
875,8.60000e+00,,
876,7.80000e+00,,
877,8.60000e+00,,
878,8.60000e+00,,
879,7.80000e+00,,
880,7.80000e+00,,
881,4.00000e-01,,
882,4.00000e-01,,
883,8.60000e+00,,
884,8.60000e+00,,
885,7.80000e+00,,
886,7.80000e+00,,
887,8.60000e+00,,
888,7.80000e+00,,
889,8.60000e+00,,
890,7.80000e+00,,
891,8.60000e+00,,
892,7.80000e+00,,
893,8.60000e+00,,
894,7.80000e+00,,
895,8.60000e+00,,
896,8.60000e+00,,
897,7.80000e+00,,
898,7.80000e+00,,
899,8.60000e+00,,
900,7.80000e+00,,
901,8.60000e+00,,
902,7.80000e+00,,
903,8.60000e+00,,
904,7.80000e+00,,
905,8.60000e+00,,
906,7.80000e+00,,
907,8.60000e+00,,
908,7.80000e+00,,
909,8.60000e+00,,
910,8.60000e+00,,
